Antratica,911
Algeria,14
Angola,112
Ascension Island,999
Benin,112
Burundi,112
Botswana,997
Burkina Faso,112
Cameroon,112
Cape Verde,130
Central African Republic,1220
Chad,2251-4242
Comoros,772-03-73
Republic of Congo,117
Democratic Republic of Congo,112
Djibouti,19
Egypt,123
Equatorial Guinea,115
Eritrea,114
Eswatini,977
Ethopia,1300
Gambia,116
Ghana,112
Guinea,18
Guinea-Bissau,112
Ivory Coast,185
Liberia,911
Kenya,911
Libya,1515
Lesotho,121
Madagascar,124
Malawi,998
Mali,15
Mauritania,101
Mauritius,114
Mayotte,112
Morocco,15
Mozambique,117
Namibia,10111
Niger,15
Nigeria,112
Réunion,112
Rwanda,912
Saint Helena,999
Sao Tome and Principe,112
Senegal,18
Seychelles,112
Sierra Leone,999
Somalia,999
South Africa,10 177
Sudan,999
South Sudan,999
Tanzania,114
Togo,8200
Tristan da Cunha,911
Tunisia,190
Uganda,911
Western Sahara,150
Zambia,999
Zimbabwe,999
Afghanistan,112
Bahrain,999
Bangladesh,999
Bhutan,112
British Indian Ocean Territory,999
Brunei,991
Cambodia,119
People's Republic of China,120
Christmas Island,0.000
Cocos Islands,0.000
East Timor,112
Hong Kong,999
India,112
Indonesia,112
Iran,115
Iraq,112
Israel,101
Japan,119
Jordan,911
Kazakhstan,112
Democratic People's Republic of Korea,8119
Republic of Korea,119
Kuwait,112
Kyrgyzstan,112
Laos,195
Lebanon,140
Macau,999
Malaysia,
Maldives,102
Mongolia,105
Myanmar,999
Nepal,102
Oman,9999
Pakistan,115
Philippines,911
Qatar,999
Saudi Arabia,911
Singapore,995
Sri Lanka,110
Syria,110
Republic of China (Taiwan),119
Tajikistan,112
Thailand,1669
Turkmenistan,112
United Arab Emirates,999
Uzbekistan,101
Vietnam,115
Yemen,191
Akrotiri and Dhekelia,112
Åland Islands,112
Albania,127
Andorra,116
Armenia,112
Austria,144
Azerbaijan,112
Belarus,103
Belgium[51],112
Bosnia and Herzegovina,124
Bulgaria,112
Croatia,112
Cyprus,112
Czech Republic,112
Denmark,112
Estonia,112
Faroe Islands,112
Finland,112
France,112
Georgia,112
Germany,112
Gibraltar,190
Greece,166
Greenland,112
Guernsey,112
Hungary,112
Iceland,112
Ireland,112
Isle of Man,112
Italy,112
Jersey,112
Kosovo,194
Latvia,112
Lithuania,112
Liechtenstein,144
Luxembourg,112
Malta,112
Moldova,112
Monaco,112
Montenegro,124
Netherlands,112
North Macedonia,194
Northern Cyprus[66],112
Norway,113
Poland,112
Portugal,112
Romania,112
Russia,103
San Marino,118
Serbia,194
Slovakia,155
Slovenia,112
Spain,112
Sweden,112
Switzerland,144
Turkey,112
Ukraine,103
United Kingdom,112
Vatican City,112
American Samoa,911
Australia,0
Cook Islands,998
Fiji,911
French Polynesia,112
Guam,911
Kiribati,999
Marshall Islands,911
Micronesia,911
Nauru,111
New Caledonia,112
New Zealand,111
Papua New Guinea,111
Samoa,999
Solomon Islands,911
Tonga,911
Tuvalu,911
Vanuatu,112
Belize,911
Clipperton Island,112
Costa Rica,911
El Salvador,132
Guatemala,128
Honduras,195
Nicaragua,128
Panama,911
Anguilla,911
Antigua and Barbuda,911
Aruba,911
The Bahamas,911
Bermuda,911
British Virgin Islands,911
Caribbean Netherlands,911
Cayman Islands,911
Cuba,104
Curacao,912
Dominica,999
Dominican Republic,911
Grenada,911
Guadeloupe,112
Haiti,116
Jamaica,110
Martinique,112
Montserrat,911
Puerto Rico,911
Saint Kitts and Nevis,911
Saint Lucia,911
Saint Vincent and the Grenadines,911
Trinidad and Tobago,811
Canada,911
Mexico,911
Saint Pierre and Miquelon,112
United States of America,911
Argentina,911
Bolivia,911
Brazil,192
Chile,131
Colombia,123
Ecuador,911
Falkland Islands,112
French Guiana,112
Guyana,913
Paraguay,911
Peru,911
South Georgia and the South Sandwich Islands,999
Suriname,115
Uruguay,911
Venezuela,911
